id_societe_classification,nom_societe,sigle,code_iso2_pays,site_web
1,American Bureau of Shipping,ABS,US,https://ww2.eagle.org
2,Bureau Veritas,BV,FR,https://marine-offshore.bureauveritas.com
3,China Classification Society,CCS,CN,https://www.ccs.org.cn
4,Croatian Register of Shipping,CRS,HR,https://www.crs.hr
5,DNV,DNV,NO,https://www.dnv.com
6,Indian Register of Shipping,IRS,IN,https://www.irclass.org
7,Korean Register,KR,KR,https://www.krs.co.kr
8,Lloyds Register,LR,GB,https://www.lr.org
9,Nippon Kaiji Kyokai,NK,JP,https://www.classnk.or.jp
10,Polish Register of Shipping,PRS,PT,https://www.prs.pl
11,Registro Italiano Navale,RINA,IT,https://www.rina.org
12,Russian Maritime Register of Shipping,RS,RU,https://rs-class.org
